"filename", "language", "HTML (Twig)", "PHP", "CSS", "YAML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\wamp64\www\symfcave\composer.json", "JSON", 0, 0, 0, 0, 99, 0, 0, 1, 100
"c:\wamp64\www\symfcave\composer.lock", "JSON", 0, 0, 0, 0, 8132, 0, 0, 1, 8133
"c:\wamp64\www\symfcave\config\bundles.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\wamp64\www\symfcave\config\packages\cache.yaml", "YAML", 0, 0, 0, 2, 0, 0, 13, 5, 20
"c:\wamp64\www\symfcave\config\packages\dev\debug.yaml", "YAML", 0, 0, 0, 2, 0, 0, 2, 1, 5
"c:\wamp64\www\symfcave\config\packages\dev\monolog.yaml", "YAML", 0, 0, 0, 11, 0, 0, 8, 1, 20
"c:\wamp64\www\symfcave\config\packages\dev\web_profiler.yaml", "YAML", 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\wamp64\www\symfcave\config\packages\doctrine.yaml", "YAML", 0, 0, 0, 14, 0, 0, 3, 2, 19
"c:\wamp64\www\symfcave\config\packages\doctrine_migrations.yaml", "YAML", 0, 0, 0, 4, 0, 0, 2, 1, 7
"c:\wamp64\www\symfcave\config\packages\framework.yaml", "YAML", 0, 0, 0, 8, 0, 0, 7, 3, 18
"c:\wamp64\www\symfcave\config\packages\mailer.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\wamp64\www\symfcave\config\packages\notifier.yaml", "YAML", 0, 0, 0, 9, 0, 0, 7, 1, 17
"c:\wamp64\www\symfcave\config\packages\prod\deprecations.yaml", "YAML", 0, 0, 0, 0, 0, 0, 8, 1, 9
"c:\wamp64\www\symfcave\config\packages\prod\doctrine.yaml", "YAML", 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\wamp64\www\symfcave\config\packages\prod\monolog.yaml", "YAML", 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\wamp64\www\symfcave\config\packages\prod\routing.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\wamp64\www\symfcave\config\packages\routing.yaml", "YAML", 0, 0, 0, 3, 0, 0, 3, 2, 8
"c:\wamp64\www\symfcave\config\packages\security.yaml", "YAML", 0, 0, 0, 25, 0, 0, 9, 4, 38
"c:\wamp64\www\symfcave\config\packages\sensio_framework_extra.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\wamp64\www\symfcave\config\packages\test\doctrine.yaml", "YAML", 0, 0, 0, 3, 0, 0, 1, 1, 5
"c:\wamp64\www\symfcave\config\packages\test\framework.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\wamp64\www\symfcave\config\packages\test\monolog.yaml", "YAML", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\wamp64\www\symfcave\config\packages\test\twig.yaml", "YAML", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\wamp64\www\symfcave\config\packages\test\validator.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\wamp64\www\symfcave\config\packages\test\web_profiler.yaml", "YAML", 0, 0, 0, 5, 0, 0, 0, 2, 7
